Emotions,Path,Name
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01
disgust,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-01-01.wav,03-01-08-01-02-01-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-02-01.wav,03-01-08-01-02-02-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-01-01.wav,03-01-08-02-01-01-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-02-01.wav,03-01-08-02-01-02-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav,03-01-08-02-02-01-01
surprise,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-02-01.wav,03-01-08-02-02-02-01
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01
neutral,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01
calm,Dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01
